ID,Crime,Date,Time,Suspect Gender,Suspect Race,Victim Count,Victim Gender,Victim Age,Weapon Type,Location,Address,City,County,State,Latitude,Longitude
3383,Murder,6/4/1963,UNK,Male,UNK,2,"Male, Female","18, 17",Firearm,Beach,UNK,Santa Barbara,UNK,California,34.4707726,-120.23639
3394,Attempted Carjacking,4/18/2023,1115,Male,UNK,1,UNK,UNK,Firearm,Street,2502 Queens Chapel Rd,Hyattsville,,Maryland,38.9484719,76.9710591
3395,"Murder, Robbery",5/4/1997,UNK,Male,White,1,Male,72,Knife,UNK,UNK,Chicago,UNK,Illinois,UNK,UNK
3423,Assault,4/19/2016,0430,UNK,UNK,1,Female,55,Firearm,Street,500 N 32nd Pl,Phoenix,Maricopa,Arizona,33.454712,-112.01292
3437,Murder,10/3/2002,0741,Male,UNK,1,Male,39,Firearm,Auto Mall,11411 Rockville Pike,Rockville,UNK,Maryland,39.0439,-77.1104
3470,Murder,1/16/1988,UNK,Male,White,1,Male,14,UNK,South of Milwaukee,2357 South 57th St.,West Allis,UNK,Wisconsin,43.0016092,-87.9863977
3471,"Murder, Sexual Assault",3/6/1963,UNK,Male,White,1,Female,69,Hands,Apartment,319 Park Ave,Lawrence,UNK,Massachusetts,42.27988,-71.14721
3484,Robbery,5/14/2018,2125,Male,Black,0,N/A,N/A,Note,Burlington Coat Factory,3200 Donnell Drive,Washington,UNK,District of Colombia,38.8470633,-76.8847827
3500,Murder,4/17/1982,UNK,Male,White,1,Female,15,UNK,Near the intersection of S 200th St & 24th Ave S,S. 200th St. & 24th Ave S.,Des Moines,UNK,Washington,UNK,UNK
3502,Murder,10/22/2007,UNK,Male,White,1,Male,80,UNK,National forest,Old Murphy Road,UNK,UNK,North Carolina,35.226276,-83.392208
3503,Murder,6/1/1892,UNK,Male,White,1,Female,24,UNK,World's Fair Hotel,617 W 63rd St,Chicago,UNK,Illinois,41.780,-87.640
3505,Robbery,10/22/2007,1935,Male,White,1,Male,80,UNK,Peoples Bank ATM,105 Five Points Dr,Ducktown,UNK,Tennessee,35.035618,-84.373263
3509,Carjacking,4/23/2023,2055,Male,UNK,1,UNK,UNK,Firearm,Street,5700 2nd St NE,Washington,Washington,District of Columbia,38.9587275,-77.003837
3515,Assault,12/1/1980,UNK,Male,White,1,Male,UNK,Hands,UNK,195 Melrose Ave,London,UNK,UNK,51.436079,-0.200492
3531,Murder,4/7/1991,UNK,Male,White,1,Male,19,UNK,Oxford Apartments ,924 N 25th St,Milwaukee,UNK,Wisconsin,43.0422719,-87.9465747
3548,Murder,6/21/2022,UNK,UNK,UNK,1,UNK,34,Drowning,Chicago River,UNK,Chicago,UNK,Illinois,41.889,-87.623
3549,"Murder, Kidnapping",6/23/1966,UNK,Male,UNK,2,Female,UNK,UNK,Single Family Residence,UNK,Seattle,UNK,Washington,47.6129428,-122.48249
3578,Murder,12/15/1989,UNK,Male,UNK,1,Female,32,UNK,Woods,361 Boxart St,Rochester,UNK,New York,43.2087313,-76.935668
3588,Murder,1/8/1973,UNK,Male,White,1,Female,19,UNK,Cabrillo College,UNK,UNK,UNK,California,36.9886,-121.9246
3590,"Murder, Assault",7/29/1976,0110,Male,White,2,Female,"18, 19",Firearm,Apartment complex,2860 Buhre Ave.,Bronx,UNK,New York,40.847,-73.8339
3640,Murder,10/11/1969,2155,Male,UNK,2,"Male, Female","29, 17",Firearm,Presidio Heights,UNK,San Francisco,UNK,California,37.7887003,-122.45754
3724,Murder,7/1/1960,UNK,Male,White,2,"Male, Female",UNK,Firearm,Deserted road,UNK,UNK,UNK,California,UNK,UNK
3802,Murder,11/8/1975,UNK,Male,UNK,1,Female,17,UNK,High School,UNK,Bountiful,UNK,Utah,40.8817611,-111.8737632
3883,Murder,10/12/1986,UNK,UNK,UNK,2,Female,"27, 21",Knife,Cheatham Annex Overlook,UNK,Williamsburg,UNK,Virginia,37.27083,-76.706944
3888,Murder,10/1/1976,UNK,Male,White,1,Male,19,UNK,Single Family Home,8213 W. Summerdale Ave,Chicago,UNK,Illinois,41.9762052,-87.8346028
3894,"Murder, Sexual Assault",5/6/1963,UNK,Male,White,1,Female,23,Hands,Apartment,4 University Rd,Cambridge,UNK,Massachusetts,42.37296,-71.12297
3903,Murder,3/15/2006,2100,Male,Black,2,Female,20,Handgun,Yoshi's restaurant,4102 N 24th St.,Phoenix,Maricopa,Arizona,33.4953806,-112.0331517
3937,Missing Person,7/4/1990,UNK,Female,White,1,Male,65,UNK,UNK,UNK,Orange Springs,UNK,Florida,29.5060995,-81.9541212
3949,Murder,11/11/1989,UNK,Male,UNK,1,Female,22,UNK,Lake Ave (Prostitution Strip),1108 Lake Ave,Rochester,UNK,New York,43.1861738,-77.632027
3950,Murder,7/28/1979,UNK,Male,Black,1,Male,14,Firearm,Unamed wooded area,Niskey Lake Rd SW,Atlanta,UNK,Georgia,33.69213,-84.52783
3984,Murder,7/9/2007,UNK,Male,UNK,1,Female,25,Hands,Gilgo Beach,UNK,Babylon,UNK,New York,40.61921545,-73.39766586
3988,Robbery,3/1/2018,1350,Male,Black,0,N/A,N/A,Note,Capital One bank,3499 South Jefferson Street,Falls Church,UNK,Virginia,38.8492222,-77.1195227
4015,Robbery,12/20/2018,0945,Male,Black,0,N/A,N/A,Note,BB&T Bank,5203 Franconia Road,Alexandria,UNK,Virginia,38.7853263,-77.1256328
4041,Burglary,10/1/1970,UNK,Male,UNK,1,UNK,UNK,UNK,UNK,UNK,Clayton,UNK,New York,UNK,UNK
4085,Murder,1/3/1981,UNK,Male,Black,1,Male,14,Hands,Wooded area of Vandiver Road,Vandiver Rd SE,Atlanta,UNK,Georgia,33.68274,-84.576036
4115,"Murder, Sexual Assault",8/21/1962,UNK,Male,White,1,Female,67,Hands,Apartment,435 Columbia Rd,Boston,UNK,Massachusetts,42.31257,-71.06812
4133,Murder,7/12/2009,UNK,Male,UNK,1,Female,24,Hands,Gilgo Beach,UNK,Babylon,UNK,New York,40.61921545,-73.39766586
4135,Murder,1/12/1976,UNK,Male,UNK,1,Female,23,UNK,Wildwood Inn,UNK,Aspen,UNK,Colorado,39.2065432,-106.9563329
4162,Rape,7/14/1986,UNK,Male,Hispanic,1,Female,17,Ligature,Frontier Central High School,UNK,UNK,UNK,UNK,42.76696353,-78.83183489
4169,Murder,1/1/1977,UNK,UNK,UNK,1,Female,30,UNK,UNK,UNK,Macon,UNK,Georgia,32.8407,-83.6324
4182,Resisting Arrest,9/7/2019,UNK,Male,White,1,UNK,UNK,UNK,UNK,UNK,Windermere,UNK,Florida,28.49667,-81.53389
4197,Murder,8/9/1969,UNK,UNK,UNK,1,Female,25,UNK,Single Family Residence,10050 Cielo Dr,Los Angeles,UNK,California,34.0948181,-118.4336042
4223,Murder,3/7/1905,UNK,Male,White,1,Female,UNK,UNK,World's Fair Hotel,618 W 63rd St,Chicago,UNK,Illinois,41.780,-87.640
4258,Murder,3/15/1977,UNK,Male,White,1,Male,20,UNK,Single Family Home,8213 W. Summerdale Ave,Chicago,UNK,Illinois,41.9762052,-87.8346028
4285,"Murder, Rape",9/29/1990,UNK,Male,Hispanic,1,Female,22,Hands,Ellicott Creek Bike Path,UNK,UNK,UNK,UNK,42.99631291,-78.75898459
4292,Murder,4/1/1891,UNK,Male,White,1,Male,UNK,UNK,World's Fair Hotel,620 W 63rd St,Chicago,UNK,Illinois,41.780,-87.640
4346,Rape,6/10/1988,UNK,Male,Hispanic,1,Female,16,UNK,Junkyard in Buffalo,UNK,UNK,UNK,UNK,UNK,UNK
4366,Murder,8/30/1888,0100,Male,White,1,Female,UNK,Knife,Dutfield's Yard,40 Henriques St,London,UNK,United Kingdom,51.5130249,-0.0675218
4400,Robbery,1/11/2018,1026,Male,Black,0,N/A,N/A,Note,Capital One bank,85 H street Northwest,Washington,UNK,District of Colombia,38.9000104,-77.0208486
4424,Murder,1/1/1982,UNK,UNK,UNK,1,Female,33,UNK,UNK,UNK,New Orleans,UNK,Louisiana,29.9511,-90.0715
4471,Abduction,9/7/2003,UNK,Male,Black,1,Female,31,UNK,UNK,800 block of 31st Street,UNK,UNK,Virginia,36.98661,-76.41954
4478,Murder,1/1/1977,UNK,UNK,UNK,1,Female,35,UNK,UNK,UNK,Pascagoula,UNK,Mississippi,30.3658,-88.5561
4545,Murder,12/11/1976,UNK,Male,White,1,Male,17,UNK,Single Family Home,8213 W. Summerdale Ave,Chicago,UNK,Illinois,41.9762052,-87.8346028
4554,Murder,8/8/1888,0530,Male,White,1,Female,UNK,Knife,Backyard,29 Hanbury Street,Spitalfield,UNK,United Kingdom,51.5204627,-0.0747019
4555,Murder,1/1/1992,UNK,UNK,UNK,1,Female,UNK,UNK,UNK,UNK,Los Angeles,UNK,California,34.0549,-118.2426
4563,Murder,1/30/2020,UNK,Male,Black,1,Female,48,Firearm,Apartment,500 block of Beechwood,River Rouge,UNK,Michigan,42.2658719,-83.151238
4581,Murder,12/12/2005,1855,Male,Black,1,Female,39,Handgun,Fast food parking lot,6005 S 40th St.,Phoenix,Maricopa,Arizona,33.391484,-111.9963101
4622,Murder,5/22/2023,UNK,UNK,UNK,1,UNK,26,Drowning,UNK,UNK,Wilmette,UNK,Illinois,42.073,-87.723
4634,"Sexual Assault, Assault",5/29/1985,UNK,Male,Hispanic,2,Female,"83, 81",UNK,Home,UNK,Monrovia,UNK,California,34.130208,-117.99484
4671,Assault,6/10/2016,2130,UNK,UNK,1,Male,19,Firearm,Street,6500 W Coronado Rd,Phoenix,Maricopa,Arizona,33.467392,-112.199764
4697,Murder,12/30/1978,UNK,Male,White,1,Male,14,Hands,UNK,195 Melrose Ave,London,UNK,UNK,51.436079,-0.200492
4700,Murder,5/24/1990,UNK,Male,White,1,Male,27,UNK,Oxford Apartments ,924 N 25th St,Milwaukee,UNK,Wisconsin,43.0422719,-87.9465747
4786,Murder,1/4/2008,UNK,Male,White,1,Female,24,UNK,Dawson Forest,UNK,Dawsonville,UNK,Georgia,34.395541,-84.192848
4794,Murder,8/11/1982,UNK,Male,White,1,Female,16,UNK,Wooded lot near Military Road,Military Rd & S. 156th St.,SeaTac,UNK,Washington,UNK,UNK
4808,Murder,10/3/2002,2120,Male,UNK,1,Male,72,Firearm,Street,Georgia Ave & Kalmia Rd,Washington,UNK,District of Colombia,38.984,-77.0266
4817,Carjacking,4/9/2023,1035,Male,UNK,1,UNK,UNK,Firearm,Street,6903 Highview Ter,Hyattsville,,Maryland,38.9753444,76.9639087
4846,Murder,1/1/1982,UNK,UNK,UNK,1,Female,30,UNK,UNK,UNK,New Orleans,UNK,Louisiana,29.9511,-90.0715
4903,Robbery,12/10/2018,0900,Male,Black,0,N/A,N/A,Note,Burke & Hurbert Bank,5519 Franconia Road,Alexandria,UNK,Virginia,38.7836479,-77.1328325
4909,Homicide,10/9/1980,UNK,Male,White,1,Female,29,UNK,Home,UNK,Portland,UNK,Oregon,45.523064,-122.676483
4909,Murder,11/19/2000,UNK,Male,UNK,1,Female,24,Hands,Gilgo Beach,UNK,Babylon,UNK,New York,40.61921545,-73.39766586
4924,Murder,11/25/1989,UNK,Male,UNK,1,Female,29,UNK,Allyway Behind Diner,9555 York Settlement Rd,North Rose,UNK,New York,43.2087313,-76.935668
4929,"Rape, Assault",8/1/1998,Night,Male,White,1,Female,32,Firearm,UNK,UNK,Spokane,UNK,Washington,UNK,UNK
4930,Murder,4/21/1973,UNK,Male,White,1,Female,52,UNK,Single family home,UNK,Santa Cruz,UNK,California,36.9741,-122.0308
4998,Murder,11/21/1987,UNK,Male,White,1,Male,24,UNK,Ambassador Hotel,2308 W Wisconsin Ave,Milwaukee,UNK,Wisconsin,43.0390236,-87.943979
5029,Murder,1/1/1987,UNK,UNK,UNK,1,Female,22,UNK,UNK,UNK,Los Angeles,UNK,California,34.0549,-118.2426
5036,Murder,8/6/1976,UNK,Male,White,1,Male,17-21,UNK,Single Family Home,8213 W. Summerdale Ave,Chicago,UNK,Illinois,41.9762052,-87.8346028
5082,Murder,7/26/2003,UNK,Male,UNK,1,Female,20,Hands,Gilgo Beach,UNK,Babylon,UNK,New York,40.61921545,-73.39766586
5096,Carjacking,4/8/2023,2030,Male,UNK,1,UNK,UNK,Firearm,Street,4801 Russel Ave,Hyattsville,,Maryland,38.9477763,76.973544
5141,Sexual Assault,10/17/2002,UNK,Male,Black,1,Female,UNK,UNK,Liberty University,1971 University Blvd,Lynchburg,UNK,Virginia,37.35553,-79.181122
5153,Murder,1/1/1987,UNK,UNK,UNK,1,Female,UNK,UNK,UNK,UNK,Los Angeles,UNK,California,34.0549,-118.2426
5162,Murder,11/23/1978,UNK,Male,White,1,Male,20,UNK,River,Des Plaines River,Channahon,Will,Illinois,41.391697,-88.2671512
5166,Robbery,2/13/2018,1036,Male,Black,0,N/A,N/A,Note,Suntrust Bank,405 Manning Road,Maryland,UNK,Maryland,38.6588792,77.0166171
5227,Assault,12/24/1975,UNK,Male,White,2,Female,"15, UNK",Firearm,Grocery Store parking lot,UNK,Bronx,UNK,New York,UNK,UNK
5267,Attempted Robbery,6/29/2018,1444,Male,Black,0,N/A,N/A,Note,PNC Bank,3297 Crain Highway,Waldorf,UNK,Maryland,38.6232202,-76.9192743
5271,"Murder, Sexual Assault",6/30/1962,1930,Male,White,1,Female,68,Hands,Apartment,1940 Commonwealth Ave,Boston,UNK,Massachusetts,42.34232,-71.08793
5278,"Murder, Attempted Sexual Assault, Robbery",7/7/1985,UNK,Male,Hispanic,2,Female,"63, 61",UNK,Home,UNK,Monterey Park,UNK,California,34.038951,-118.10405
5291,Attempted Robbery,1/1/2008,UNK,Male,White,1,Female,24,UNK,Bank ATM,UNK,Blairsville,UNK,Georgia,UNK,UNK
